产品,区域,销售数量,销售金额(万元),利润率(%),日期
产品A,华东,377,377.0,28.02,2025-01-08
产品A,华南,121,461.01,26.27,2025-03-03
产品A,华北,352,844.8,8.8,2025-01-08
产品A,西南,308,988.68,23.15,2025-03-21
产品A,西北,409,1206.55,13.95,2025-03-09
产品B,华东,464,2046.24,28.49,2025-01-23
产品B,华南,266,539.98,12.2,2025-02-04
产品B,华北,97,214.37,17.69,2025-02-20
产品B,西南,185,764.05,27.7,2025-03-04
产品B,西北,243,206.55,15.92,2025-03-20
产品C,华东,491,1045.83,13.19,2025-01-02
产品C,华南,388,593.64,15.81,2025-01-28
产品C,华北,169,743.6,18.26,2025-02-21
产品C,西南,477,1020.78,17.99,2025-01-22
产品C,西北,186,680.76,26.46,2025-01-20
产品D,华东,375,476.25,27.69,2025-01-15
产品D,华南,244,417.24,32.99,2025-03-18
产品D,华北,162,579.96,30.76,2025-01-08
产品D,西南,470,300.8,16.52,2025-02-03
产品D,西北,158,728.38,23.31,2025-03-11
产品E,华东,158,545.1,18.68,2025-03-15
产品E,华南,123,207.87,14.66,2025-03-18
产品E,华北,184,710.24,19.57,2025-03-13
产品E,西南,235,350.15,34.93,2025-03-16
产品E,西北,96,374.4,31.25,2025-01-21
